,Year,GTCBSA,PEHRUSLT,PEDIPGED,PECYC,PEAFEVER,PEAFNOW,Hours Usually Worked,PEERNLAB,Household Income,Household Members,HS or GED,Years of College,Ever in Military,Currently in Military,Union Member,City
1,23,10180,19.89041095890411,-0.589041095890411,-0.3150684931506849,1.0,1.3013698630136987,0.547945205479452,-0.6712328767123288,11.95890410958904,3.7945205479452055,0.1917808219178082,0.3561643835616438,0.08,0.0,0.0410958904109589,"Abilene, TX"
2,23,10420,20.547770700636942,-0.6050955414012739,-0.07006369426751592,1.4203821656050954,1.5605095541401275,-0.21019108280254778,-0.7452229299363057,13.388535031847134,2.8089171974522293,0.19745222929936307,0.445859872611465,0.07692307692307693,0.0,0.012738853503184714,"Akron, OH"
3,23,10580,16.427710843373493,-0.572289156626506,-0.25301204819277107,1.3795180722891567,1.5301204819277108,0.4457831325301205,-0.6927710843373494,12.819277108433734,3.0481927710843375,0.20481927710843373,0.3493975903614458,0.09558823529411764,0.0,0.03614457831325301,"Albany-Schenectady-Troy, NY"
4,23,10740,16.102880658436213,-0.5445816186556928,-0.1056241426611797,1.4115226337448559,1.5432098765432098,0.28532235939643347,-0.6817558299039781,12.323731138545954,3.0,0.2167352537722908,0.44718792866941015,0.07973421926910298,0.0,0.010973936899862825,"Albuquerque, NM"
5,23,10900,18.598684210526315,-0.5921052631578947,-0.27631578947368424,1.256578947368421,1.3486842105263157,0.5855263157894737,-0.6973684210526315,12.730263157894736,3.210526315789474,0.20394736842105263,0.3684210526315789,0.04310344827586207,0.0,0.013157894736842105,"Allentown-Bethlehem-Easton, PA-NJ"
6,23,11100,17.698630136986303,-0.547945205479452,-0.0136986301369863,1.1917808219178083,1.5068493150684932,1.1095890410958904,-0.7123287671232876,11.657534246575343,3.0,0.2191780821917808,0.4383561643835616,0.09090909090909091,0.0,0.0,"Amarillo, TX"
7,23,11460,18.16176470588235,-0.75,-0.20588235294117646,1.4852941176470589,1.5588235294117647,-1.0,-0.7794117647058824,12.308823529411764,2.4411764705882355,0.11764705882352941,0.35294117647058826,0.08620689655172414,0.0,0.0,"Ann Arbor, MI"
8,23,11540,17.733333333333334,-0.7777777777777778,0.24444444444444444,1.3555555555555556,1.5333333333333334,1.5333333333333334,-0.4888888888888889,13.022222222222222,2.9555555555555557,0.1111111111111111,0.5777777777777777,0.13513513513513514,0.0,0.022222222222222223,"Appleton, WI"
9,23,11700,13.52,-0.58,0.02,1.31,1.37,-1.0,-0.82,12.25,3.46,0.21,0.44,0.038461538461538464,0.0,0.0,"Asheville, NC"
10,23,12020,20.19047619047619,-0.36507936507936506,-0.4444444444444444,1.4603174603174602,1.5238095238095237,-0.6666666666666666,-0.7619047619047619,12.761904761904763,3.2857142857142856,0.2857142857142857,0.2698412698412698,0.019230769230769232,0.0,0.0,"Athens-Clarke County, GA"
11,23,12060,18.38066723695466,-0.5303678357570573,-0.31736526946107785,1.3669803250641575,1.5166809238665526,0.6903336184773311,-0.6663815226689478,12.946963216424294,3.3387510692899913,0.2292557741659538,0.32506415739948674,0.06574761399787911,0.0010193679918450561,0.0051325919589392645,"Atlanta-Sandy Springs-Roswell, GA"
12,23,12100,18.19607843137255,-0.5490196078431373,-0.09803921568627451,1.1568627450980393,1.3529411764705883,-0.19607843137254902,-0.8627450980392157,12.019607843137255,3.4313725490196076,0.21568627450980393,0.39215686274509803,0.10526315789473684,0.0,0.0392156862745098,"Atlantic City-Hammonton, NJ"
13,23,12220,18.324324324324323,-0.5855855855855856,0.04504504504504504,1.5045045045045045,1.7027027027027026,-0.2972972972972973,-0.5405405405405406,12.585585585585585,2.6396396396396398,0.1981981981981982,0.45045045045045046,0.13402061855670103,0.0,0.02702702702702703,"Auburn-Opelika, AL"
14,23,12260,18.257668711656443,-0.36809815950920244,-0.26380368098159507,1.4417177914110428,1.5582822085889572,0.15950920245398773,-0.7423312883435583,11.938650306748466,3.1595092024539877,0.294478527607362,0.31901840490797545,0.07352941176470588,0.0,0.0,"Augusta-Richmond County, GA-SC"
15,23,12420,20.172661870503596,-0.6690647482014388,-0.2278177458033573,1.4316546762589928,1.5371702637889688,-0.10551558752997602,-0.7482014388489209,12.556354916067146,3.081534772182254,0.15587529976019185,0.37410071942446044,0.06936416184971098,0.0028328611898017,0.007194244604316547,"Austin-Round Rock, TX"
16,23,12540,18.110091743119266,-0.5596330275229358,0.01834862385321101,1.3211009174311927,1.4220183486238531,-0.5045871559633027,-0.7614678899082569,13.504587155963304,3.5137614678899083,0.22018348623853212,0.5412844036697247,0.05813953488372093,0.0,0.03669724770642202,"Bakersfield, CA"
17,23,12580,20.906015037593985,-0.6071428571428571,-0.32706766917293234,1.281954887218045,1.4097744360902256,0.4849624060150376,-0.6428571428571429,13.780075187969924,3.300751879699248,0.18796992481203006,0.30451127819548873,0.08173076923076923,0.004672897196261682,0.020676691729323307,"Baltimore-Columbia-Towson, MD"
18,23,12620,17.25287356321839,-0.3563218390804598,-0.28735632183908044,1.3448275862068966,1.5172413793103448,0.896551724137931,-0.6666666666666666,11.758620689655173,3.1379310344827585,0.3103448275862069,0.39080459770114945,0.08571428571428572,0.0,0.011494252873563218,"Bangor, ME"
19,23,12700,19.27659574468085,-0.8297872340425532,-0.2553191489361702,1.2553191489361701,1.4893617021276595,-1.0,-1.0,13.595744680851064,3.5106382978723403,0.0851063829787234,0.40425531914893614,0.05555555555555555,0.0,0.0,"Barnstable Town, MA"
